,laptops_name,laptops_price
26,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 - Iron Gray",GH₵ 855.00
27,"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 4,850.00"
28,Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,GH₵ 499.00
29,"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink","GH₵ 3,789.00"
30,Hp ProBook 650 G1 - 15 Inches 4th Gen Laptop - Intel Core i5 - 4GB RAM - 500GB HDD - Win 10 - Black,"GH₵ 2,120.00"
31,10.1 inch  Netbook PC -1GBRAM - 8GBROM - Android 6.0  - Black,"GH₵ 2,698.00"
32,"Lenovo Ideapad S14515IGM-Intel Celeron N4000-1TB HDD -4GB RAM-15.6"" - Windows 10 - Black","GH₵ 2,950.00"
33,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 2,490.00"
34,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 6,300.00"
35,Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,GH₵ 719.00
36,Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 2,710.00"
37,"Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - Silver",GH₵ 779.00
38,Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10  – Silver,"GH₵ 2,450.00"
39,Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,"GH₵ 2,950.00"
40,,"GH₵ 2,789.00"
41,,"GH₵ 6,990.00"
42,,"GH₵ 9,000.00"
43,,"GH₵ 5,000.00"
44,,"GH₵ 3,399.00"
45,,GH₵ 129.00
46,,
47,,
48,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD  - Intel N4020 Win10 - Platinum Grey",
49,"Hp Notebook 15-da2937nia - 15.6"" - 10th Gen Core i7-10510U - 8GB RAM - 1TB HDD  - Windows 10 - Black",
50,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black,
51,"DELL Vostro 3000 Series - 11th Gen Intel Core  i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray",
52,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray",
53,"DELL Vostro 3500 - 11th Generation Intel Core i5-1135G7 - 1TB HDD -4GB RAM -15.6"" - Windows 10 - Gray",
