,phone_name,phone_price,url_links
89,Itel It 2160 Dual SIM Cell Phone - 32MB ROM‎ - 32 MB RAM - Dark Blue + Free Earpiece + Free Battery,GH₵ 92.00,https://www.jumia.com.gh/itel-it-2160-dual-sim-cell-phone-32mb-rom-32-mb-ram-dark-blue-free-earpiece-free-battery-15985339.html
90,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
91,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00,https://www.jumia.com.gh/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
92,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
93,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,https://www.jumia.com.gh/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
94,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,https://www.jumia.com.gh/wireless-bluetooth-earphones-white-tws-mpg430467.html
95,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 592.10,https://www.jumia.com.gh/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
96,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00,https://www.jumia.com.gh/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
97,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00,https://www.jumia.com.gh/generic-tripod-mobile-phone-camera-foldable-stand-holder-table-smartphone-tripod-16841886.html
98,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 23.00,https://www.jumia.com.gh/micro-sd-memory-card-32gb-black-generic-mpg429117.html
99,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,https://www.jumia.com.gh/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
100,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 592.00,https://www.jumia.com.gh/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
101,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 59.00,https://www.jumia.com.gh/lenovo-lp40-bluetooth-5.0-true-wireless-sport-headset-white-21008805.html
102,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,https://www.jumia.com.gh/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
103,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,https://www.jumia.com.gh/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
104,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00,https://www.jumia.com.gh/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
105,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00,https://www.jumia.com.gh/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-white-22600678.html
106,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00,https://www.jumia.com.gh/generic-bluetooth-5.0-earphones-2200mah-wireless-headphone-18121141.html
107,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00,https://www.jumia.com.gh/generic-smart-bluetooth-watches-for-ios-and-android-bands-31659428.html
108,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 33.00,https://www.jumia.com.gh/v9-earhook-wireless-bluetooth-earphone-csr-noise-cancelling-earpiece-headset-portable-14746697.html
109,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00,https://www.jumia.com.gh/generic-f9-32-stereo-v5.1-bluetooth-earphone-power-banks-38610988.html
110,JB New Silicone Digital Watch Men Sport Women  LED  smart watch,GH₵ 44.00,https://www.jumia.com.gh/jb-new-silicone-digital-watch-men-sport-women-led-smart-watch-18591165.html
111,New I5 Smartwatch - Pink,GH₵ 47.00,https://www.jumia.com.gh/generic-new-i5-smartwatch-pink-22272517.html
112,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 416.67,https://www.jumia.com.gh/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
113,Wireless Bluetooth Earphones - White,GH₵ 39.00,https://www.jumia.com.gh/air-3-pro-bluetooth-wireless-earphones-white-generic-mpg448815.html
114,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00,https://www.jumia.com.gh/air-pro-6-bluetooth-earphone-earbuds-hifi-stereo-touch-sensor-control-mic-for-android-ios-tws-mpg453585.html
115,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 33.00,https://www.jumia.com.gh/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
116,Pro 6 Bluetooth Earphone - White,GH₵ 49.00,https://www.jumia.com.gh/generic-pro-6-bluetooth-earphone-white-32552474.html
117,In-Ear Headphones-Double Horn Black Red,GH₵ 16.00,https://www.jumia.com.gh/generic-in-ear-headphones-double-horn-black-red-31245519.html
118,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 59.00,https://www.jumia.com.gh/generic-f9-v5.1-wireless-bluetooth-digital-display-earphone-black-38611560.html
119,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04,https://www.jumia.com.gh/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
120,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 69.00,https://www.jumia.com.gh/m11-t-ws-lcd-bluetooth-5.0-wireless-headphones-black-generic-mpg454355.html
121,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 30.00,https://www.jumia.com.gh/lenovo-he01-bt-5.0-neckband-wireless-earphones-waterproof-wmic-line-control-30987908.html
122,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00,https://www.jumia.com.gh/wireless-bluetooth-headset-2000mah-black-generic-mpg454368.html
123,T WS Bluetooth headset + ios smart watch waterproof sports combination affordable set,GH₵ 84.00,https://www.jumia.com.gh/generic-t-ws-bluetooth-headset-ios-smart-watch-waterproof-sports-combination-affordable-set-21503885.html
124,Color screen smart watch heart rate sport bracelet,GH₵ 33.00,https://www.jumia.com.gh/generic-color-screen-smart-watch-heart-rate-sport-bracelet-31659499.html
125,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 69.00,https://www.jumia.com.gh/generic-smart-watch-with-camera-sim-card-slot-black-15811084.html
126,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00,https://www.jumia.com.gh/generic-heart-rate-sport-bracelet-smart-watch-black-31662908.html
127,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 168.96,https://www.jumia.com.gh/oraimo-freepods3-true-wireless-stereo-earbuds-black-41220617.html
128,LED Bluetooth headset noise reduction stereo headset,GH₵ 39.00,https://www.jumia.com.gh/generic-led-bluetooth-headset-noise-reduction-stereo-headset-31814992.html
129,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 36.00,https://www.jumia.com.gh/generic-2pcs-portable-speaker-high-volume-subwoofer-usb-black-31777702.html
