,Product Name,Price,Product Link
11,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 64.17,/m11-t-ws-lcd-bluetooth-5.0-wireless-headphones-black-generic-mpg454355.html
12,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 20.46,/lenovo-he01-bt-5.0-neckband-wireless-earphones-waterproof-wmic-line-control-30987908.html
13,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00,/v9-earhook-wireless-bluetooth-earphone-csr-noise-cancelling-earpiece-headset-portable-14746697.html
14,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68,/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
15,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
16,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 69.00,/it-2173-dual-sim-feature-phone-512mb-rom-512mb-ram-black-grey-itel-mpg455309.html
17,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00,/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
18,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 251.00,/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
19,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Green,GH₵ 285.00,/x-inova-magic-6-dual-sim-smartphone-16gb-hdd-2gb-ram-green-42412788.html
20,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 290.00,/x-inova-magic-6-dual-sim-smartphone-16gb-hdd-2gb-ram-black-37642205.html
21,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00,/105-4th-edition-dual-sim-cell-phone-black-nokia-mpg441344.html
22,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 97.00,/itel-5081-triple-sim-phone-wireless-fm-radio-dark-blue-18120412.html
23,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00,/x-tigi-t1-mini-1.77-dual-sim-cell-phone-32mb-hdd-32mb-ram-blue-31301179.html
24,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00,/110-2019-edition-dual-sim-feature-phone-black-nokia-mpg441613.html
