,Name,Price,Links
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 72.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
1,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 69.12,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
2,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,https://www.jumia.com.gh/phones-tablets/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
3,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 592.10,https://www.jumia.com.gh/phones-tablets/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
4,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 592.00,https://www.jumia.com.gh/phones-tablets/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
5,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,https://www.jumia.com.gh/phones-tablets/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
6,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
7,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 41.28,https://www.jumia.com.gh/phones-tablets/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
8,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 59.00,https://www.jumia.com.gh/phones-tablets/lenovo-lp40-bluetooth-5.0-true-wireless-sport-headset-white-21008805.html
9,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 41.28,https://www.jumia.com.gh/phones-tablets/generic-bluetooth-5.0-earphones-2200mah-wireless-headphone-18121141.html
10,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00,https://www.jumia.com.gh/phones-tablets/105-4th-edition-dual-sim-feature-phone-black-nokia-mpg453273.html
11,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 31.68,https://www.jumia.com.gh/phones-tablets/v9-earhook-wireless-bluetooth-earphone-csr-noise-cancelling-earpiece-headset-portable-14746697.html
12,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 432.00,https://www.jumia.com.gh/phones-tablets/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
13,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 48.96,https://www.jumia.com.gh/phones-tablets/generic-f9-32-stereo-v5.1-bluetooth-earphone-power-banks-38610988.html
14,In-Ear Headphones-Double Horn Black Red,GH₵ 16.00,https://www.jumia.com.gh/phones-tablets/generic-in-ear-headphones-double-horn-black-red-31245519.html
15,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
16,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00,https://www.jumia.com.gh/phones-tablets/105-4th-edition-dual-sim-feature-phone-black-nokia-mpg453273.html
17,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 251.00,https://www.jumia.com.gh/phones-tablets/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
18,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 81.00,https://www.jumia.com.gh/phones-tablets/it-2173-dual-sim-feature-phone-512mb-rom-512mb-ram-black-grey-itel-mpg455309.html
19,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00,https://www.jumia.com.gh/phones-tablets/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
20,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 94.00,https://www.jumia.com.gh/phones-tablets/dual-sim-phone-with-fm-radio-free-p47-headphone-blackmulticolour-bontel-mpg453617.html
