,Name,Price,Links
13,Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - Silver,"GH₵ 3,700.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
14,Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 2,698.00",https://www.jumia.com.gh/15-dw1081wm-intel-pentium-gold-6405u-laptop-4gb-ddr4-ram-500gb-hdd-windows-10-scarlet-red-hp-mpg441944.html
15,Hp ProBook 650 G1 - 15 Inches 4th Gen Laptop - Intel Core i5 - 4GB RAM - 500GB HDD - Win 10 - Black,"GH₵ 2,710.00",https://www.jumia.com.gh/hp-probook-650-g1-15-inches-4th-gen-laptop-intel-core-i5-4gb-ram-500gb-hdd-win-10-black-29880586.html
16,"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -Silver","GH₵ 9,800.00",https://www.jumia.com.gh/hp-15t-ed000-x360-15-core-i7-1065g7512-ssd16gb-ram4gb-nvidia-mx330-windows-10-silver-30616503.html
17,Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE,"GH₵ 2,950.00",https://www.jumia.com.gh/hp-15-da0021ds-intel-pentium-gold-5405u-laptop-touch-screen-8gb-ram-256gb-ssd-win-10-blue-40427049.html
18,"360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)",GH₵ 499.00,https://www.jumia.com.gh/generic-360o-rotating-bluetooth-7-s-backlit-aluminum-keyboard-for-ipad-9.7-2018ipad-9.7-2017ipad-airair-2pro-9.7-blue-blue-29830302.html
19,Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 5,800.00",https://www.jumia.com.gh/hp-pavilion-gaming-core-i5-10300h-1tb-drive-256ssd-8gb-ram-4gb-nvidia-black-41170409.html
20,"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40",https://www.jumia.com.gh/thinkpad-x201-12-intel-core-i5-4g-ram-320gb-win-7-pro.-black-lenovo-mpg453269.html
21,"Hp ProBook 440 G8 - 14"" - Intel Core i7-1165G7 - 512SSD - 16GB RAM - Windows 10 -Silver","GH₵ 8,900.00",https://www.jumia.com.gh/hp-probook-440-g8-14-intel-core-i7-1165g7-512ssd-16gb-ram-windows-10-silver-31036063.html
22,"TDD-10.1 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - White",GH₵ 855.00,https://www.jumia.com.gh/generic-tdd-10.1-netbook-pc-10.1-dual-core-1gb-ram-android-6.0-white-2125415.html
23,Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 4,850.00",https://www.jumia.com.gh/hp-pavilion-15-er0125od-x360-intel-core-i5-8gb-ram-256gb-ssd-touchscreen-silver-42403162.html
24,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray","GH₵ 3,789.00",https://www.jumia.com.gh/dell-vostro-3000-series-11th-gen-intel-core-i3-1115g4-1tb-hdd-8gb-ram-15.6-windows-10-gray-31343495.html
25,DELL Latitude E6320 13 inches Laptop - Intel Core i5 2.50 GHz - 4GB DDR3 - 500GB HDD - Windows 7 Pro - Black + Free Laptop Bag,"GH₵ 2,120.00",https://www.jumia.com.gh/latitude-e6320-13-inches-laptop-intel-core-i5-2.50-ghz-4gb-ddr3-320gb-hdd-windows-7-pro-black-dell-mpg453232.html
26,"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 2,490.00",https://www.jumia.com.gh/v14-igl-intel-celeron-n4020-1tb-hdd-4gb-ram-14-windows-11-pro-iron-gray-lenovo-mpg454943.html
27,"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink",GH₵ 719.00,https://www.jumia.com.gh/generic-n1001-netbook-pc-10.1-dual-core-1gb-ram-android-6.0-pink-2121822.html
28,10.1 inch Netbook PC -1GBRAM - 8GBROM - Android 6.0 - Black,GH₵ 779.00,https://www.jumia.com.gh/generic-10.1-inch-netbook-pc-1gbram-8gbrom-android-6.0-black-2125375.html
29,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 3,013.00",https://www.jumia.com.gh/laptop-14-cf2187nia-10th-generation-intel-core-i3-4gb-ram-1tb-hdd-14.0-led-screen-black-hp-mpg453493.html
30,Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,"GH₵ 6,990.00",https://www.jumia.com.gh/hp-pavilion-15-eg0073cl-15.6-touchscreen-laptop-11th-gen-intel-core-i7-1165g7-4.7-ghz-16gb-ram-512gb-ssd-backlit-keyboard-fog-blue-42030184.html
31,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 2,789.00",https://www.jumia.com.gh/250-g7-15.6-intel-celeron-n4000-1tb-hdd-4gb-ram-windows-10-gray-hp-mpg437549.html
32,Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/macbook-pro-m1-256gb-hdd-8gb-ram-13.3-space-gray-apple-mpg453612.html
