,Laptop,Price,link
16,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray
GH₵ 3,789.00
GH₵ 4,100.00
8%
3.3 out of 5
(3)",GH₵ 499.00,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray
GH₵ 3,789.00
GH₵ 4,100.00
8%
3.3 out of 5
(3)"
17,"Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black
GH₵ 5,800.00","GH₵ 5,800.00","Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black
GH₵ 5,800.00"
18,"Shipped from abroad
10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059 - Black
GH₵ 750.00
GH₵ 1,324.00
43%
3.5 out of 5
(11)",GH₵ 750.00,"Shipped from abroad
10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059 - Black
GH₵ 750.00
GH₵ 1,324.00
43%
3.5 out of 5
(11)"
19,"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black
GH₵ 1,814.40
GH₵ 2,100.00
14%
4.5 out of 5
(2)","GH₵ 1,814.40","Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black
GH₵ 1,814.40
GH₵ 2,100.00
14%
4.5 out of 5
(2)"
20,"Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE
GH₵ 2,950.00","GH₵ 2,950.00","Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE
GH₵ 2,950.00"
21,"Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver
GH₵ 4,850.00
GH₵ 5,200.00
7%","GH₵ 4,850.00","Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver
GH₵ 4,850.00
GH₵ 5,200.00
7%"
22,"Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black
GH₵ 3,250.00
GH₵ 3,650.00
11%
5 out of 5
(1)","GH₵ 3,250.00","Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black
GH₵ 3,250.00
GH₵ 3,650.00
11%
5 out of 5
(1)"
23,"Shipped from abroad
N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink
GH₵ 719.00
GH₵ 1,269.00
43%
3.4 out of 5
(9)",GH₵ 719.00,"Shipped from abroad
N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink
GH₵ 719.00
GH₵ 1,269.00
43%
3.4 out of 5
(9)"
24,"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray
GH₵ 2,490.00
GH₵ 2,600.00
4%
offers from
5 out of 5
(1)","GH₵ 2,490.00","Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray
GH₵ 2,490.00
GH₵ 2,600.00
4%
offers from
5 out of 5
(1)"
25,"Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - Black
GH₵ 3,013.00
GH₵ 3,500.00
14%
offers from
4.5 out of 5
(17)","GH₵ 2,250.00","Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - Black
GH₵ 3,013.00
GH₵ 3,500.00
14%
offers from
4.5 out of 5
(17)"
