Laptops,Prices,URLs
Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 4,850.00",https://www.jumia.com.gh/hp-pavilion-15-er0125od-x360-intel-core-i5-8gb-ram-256gb-ssd-touchscreen-silver-42403162.html
"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray","GH₵ 3,789.00",https://www.jumia.com.gh/dell-vostro-3000-series-11th-gen-intel-core-i3-1115g4-1tb-hdd-8gb-ram-15.6-windows-10-gray-31343495.html
DELL Latitude E6320 13 inches Laptop - Intel Core i5 2.50 GHz - 4GB DDR3 - 500GB HDD - Windows 7 Pro - Black + Free Laptop Bag,"GH₵ 2,120.00",https://www.jumia.com.gh/latitude-e6320-13-inches-laptop-intel-core-i5-2.50-ghz-4gb-ddr3-320gb-hdd-windows-7-pro-black-dell-mpg453232.html
"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 - Iron Gray","GH₵ 2,950.00",https://www.jumia.com.gh/lenovo-v15-intel-core-i3-10th-generation-15.6-4-gb-ram-1-tb-hdd-win-10-iron-gray-43945127.html
"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 2,490.00",https://www.jumia.com.gh/v14-igl-intel-celeron-n4020-1tb-hdd-4gb-ram-14-windows-11-pro-iron-gray-lenovo-mpg454943.html
Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 2,698.00",https://www.jumia.com.gh/15-dw1081wm-intel-pentium-gold-6405u-laptop-4gb-ddr4-ram-500gb-hdd-windows-10-scarlet-red-hp-mpg441944.html
"N1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - Pink",GH₵ 719.00,https://www.jumia.com.gh/generic-n1001-netbook-pc-10.1-dual-core-1gb-ram-android-6.0-pink-2121822.html
Hp ProBook 650 G1 - 15 Inches 4th Gen Laptop - Intel Core i5 - 4GB RAM - 500GB HDD - Win 10 - Black,"GH₵ 2,710.00",https://www.jumia.com.gh/hp-probook-650-g1-15-inches-4th-gen-laptop-intel-core-i5-4gb-ram-500gb-hdd-win-10-black-29880586.html
10.1 inch Netbook PC -1GBRAM - 8GBROM - Android 6.0 - Black,GH₵ 779.00,https://www.jumia.com.gh/generic-10.1-inch-netbook-pc-1gbram-8gbrom-android-6.0-black-2125375.html
"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 2,950.00",https://www.jumia.com.gh/v15-intel-core-i3-10th-generation-15.6-4-gb-ram-1-tb-hdd-win-11-pro-iron-gray-lenovo-mpg453449.html
