Laptops,Prices,URLs
Hp Laptop 17.3 inch - AMD Athlon Silver 3050U - 4GB RAM - 256GB SSD - Windows 10 - Silver,"GH₵ 2,999.00",https://www.jumia.com.gh/hp-laptop-17.3-inch-amd-athlon-silver-3050u-4gb-ram-256gb-ssd-windows-10-silver-43233465.html
"360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)",GH₵ 499.00,https://www.jumia.com.gh/generic-360o-rotating-bluetooth-7-s-backlit-aluminum-keyboard-for-ipad-9.7-2018ipad-9.7-2017ipad-airair-2pro-9.7-blue-blue-29830302.html
Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 6,400.00",https://www.jumia.com.gh/pavilion-gaming-core-i5-10300h-256ssd-8gb-ram-4gb-nvidia-black-hp-mpg455211.html
"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -Silver","GH₵ 9,800.00",https://www.jumia.com.gh/hp-15t-ed000-x360-15-core-i7-1065g7512-ssd16gb-ram4gb-nvidia-mx330-windows-10-silver-30616503.html
Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 5,000.00",https://www.jumia.com.gh/hp-pavilion-15-er0125od-x360-intel-core-i5-8gb-ram-256gb-ssd-touchscreen-silver-42403162.html
"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 2,490.00",https://www.jumia.com.gh/v14-igl-intel-celeron-n4020-1tb-hdd-4gb-ram-14-windows-11-pro-iron-gray-lenovo-mpg454943.html
Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 5,800.00",https://www.jumia.com.gh/hp-pavilion-gaming-core-i5-10300h-1tb-drive-256ssd-8gb-ram-4gb-nvidia-black-41170409.html
Apple MacBook Pro - 256GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 8,775.00",https://www.jumia.com.gh/macbook-pro-256gb-ssd-8gb-ram-13.3-space-gray-apple-mpg455364.html
Folding Laptop Table Computer Desk For Student / Bedside - pink,GH₵ 75.00,https://www.jumia.com.gh/generic-folding-laptop-table-computer-desk-for-student-bedside-pink-44386184.html
"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 12GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 3,490.00",https://www.jumia.com.gh/lenovo-v15-intel-core-i3-10th-generation-15.6-12gb-ram-1-tb-hdd-win-10-pro-iron-gray-31562039.html
Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 129.00,https://www.jumia.com.gh/generic-foldable-non-slip-laptop-n-stand-portable-thin-pc-bracket-ph-37248977.html
