,Computer,Amount,links
34,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 432.00,/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
35,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04,/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
36,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 585.20,/infinix-smart-hd-x612-2021-32gb-hdd-2gb-ram-smartphone-topaz-blue-32558902.html
37,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 432.00,/itel-s16-dual-sim-smartphone-16gb-hdd-1gb-ram-cosmic-shine-33349850.html
38,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 422.28,/tecno-pop-3-bb2-dual-sim-16gb-hdd-1gb-ram-smartphone-champaign-gold-32323165.html
39,X Tigi A10C  6.3'' - 32GB HDD - 2GB RAM - Fingerprint - Black,GH₵ 449.00,/x-tigi-a10c-6.3-32gb-hdd-2gb-ram-fingerprint-black-37739952.html
40,XIAOMI Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 635.00,/xiaomi-redmi-9a-smartphone-32gb-hdd-2gb-ram-granite-gray-41955516.html
41,Itel A56 (2020) - 16GB HDD - 1GB RAM - 4000mAh - Blue,GH₵ 390.00,/a56-2020-16gb-hdd-1gb-ram-4000mah-blue-itel-mpg439060.html
42,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00,/tcl-20e-dual-sim-32gb-3gb-ram-smartphone-blue-31316969.html
43,Tecno Pop 5 - 16GB HDD - 1GB RAM - Dual SIM - Obsidian Black,GH₵ 458.00,/pop-5-16gb-hdd-1gb-ram-dual-sim-obsidian-black-tecno-mpg453282.html
44,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 440.00,/apple-iphone-5s-16gb-with-finger-sensor-4g-lte-gift-refurbiished-7775361.html
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 75.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
46,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00,/generic-tripod-mobile-phone-camera-foldable-stand-holder-table-smartphone-tripod-16841886.html
47,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00,/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
48,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-black-41951199.html
49,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
50,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00,/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
51,P47 Wireless Headset - White,GH₵ 29.47,/wireless-headset-white-p47-mpg454476.html
52,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00,/generic-wireless-bluetooth-earphone-for-iphone-samsung-pods-black-22600679.html
